LT031-0202|Tuoj įjungsiu šviesas, - pažadėjo Vinstonas. - Ženkite vidun, užverkite duris.
LT031-0038|Vienu metu nebeapsikentęs nustūmė senovinius tekstus šalin ir Dunojaus krantine leidosi į ilgą pasivaikščiojimą, idant surikiuotų mintis.
LT020-0138|nors mėgdavo pasakoti, koks kietas jaunystėje buvo Panevėžyje, kur mazgotės neišgyvendavo - išgyveno tik jis, Gintautas,
LT036-0164|Jei ruošiasi tapti mano vyru, lai išmoksta suteikti erdvės, kai man jos prireiks. Aš ką tik tapau žmogžudystės liudininke ir dabar turiu skirti minutę sau!
LT020-0129|artimesniam bendravimui,
LT023-0061|Jos jau turi visas teises bei galimybes ir jomis naudojasi, ir joms nereikia apie tai trimituoti.
LT016-0100|Mūsų tautos yra kaip du broliai, abu vienodai protiškai atsilikę.
LT039-0029|Garsa nenorėjo palikti princo su Valdespinu,
LT037-0221|Lengdonas su nuostaba atsiminė, kaip greitai dirbtinis intelektas apsisprendė suteikti pagalbą.
LT032-0294|Lengdonas turėjo pripažinti, kad agresyvus Valdespino balsas jį glumino, bet pati žinutė ne tiek baugino,
LT027-0116|nubėgau iš miegamojo į pirmą aukštą ir atidariau duris.
LT026-0085|nepažįstamų pimpalų - Palangos undinės. Diedas kapitono kepure stovėjo svyruodamas. Priėjęs netikėtai ir staigiai trenkiau dešine jam iš apačios į smakrą,
LT038-0179|Atleisk, - tyliai atsiprašė, kreipdamasis „tu“.
LT028-0097|Ant lietuvių Zabrazauskas pyko todėl, kad jie beveik neatėjo žiūrėti jo filmo „Man devyniolika su puse“.
LT037-0064|O, Dieve, mąstė profesorius. Ji teisi.
LT007-0033|Kompanijos naudoja teiginius, kurie nepaneigiamai pritraukia klientų dėmesį.
LT017-0169|Be to, ankstyvas skrydis iš Vilniaus reiškė, kad buvau neišsimiegojęs. Ir dar buvau alkanas.
LT003-0170|buvo nusamdyti šaržų meistrai, kurie visiems norintiems nupiešdavo jų šaržus nemokamai..
LT033-0064|Avila žengė į tuščią tualetą, nuėjo į paskutinį gardelį ir jame užsirakino.
LT025-0039|Ką gi jie nori daryti?
LT034-0061|Per pastarąsias dešimt minučių ne viena naujienų stotis nutraukė įprastas programas ir įjungė tiesioginę transliaciją iš Gugenheimo muziejaus.
LT029-0220|Kiek tik jis atsiminė, Edmondas buvo nepasotinamas bibliofilas - skaitydavo viską, kas pasitaikydavo akiratyje.
LT032-0002|elegantiškai vingiuojantys ir iš pažiūros nesaugiai stūksantys ant briaunos, milžiniški korozijai atsparaus konstrukcinio plieno lakštai,
LT004-0058|Priešingai, „Dešimt puikių būdų...“ skamba nuobodžiai ir tam tikra prasme standartiškai, panašiai kaip „šešių skardinių pakuotė“.
LT032-0145|Ką apskritai čia veikiu? Lengdonas jau ketino apsisukti ir grįžti, kai tunelis staiga baigėsi, o priešais atsivėrė erdvė. Kaip ir žadėta, jos buvo su kaupu.
LT011-0060|Kodėl kompanija "Loreal" pakeitė pardavėjų įdarbinimo politiką?
LT023-0179|ten, kur yra plaukų džiovintuvai, dažniausiai juos naudoja kam tik nori, tik ne galvos plaukams: pažastims, šiknoms ir gaktaplaukiams džiovinti
LT010-0003|Ši dovana - tai technika, kuri visai neseniai mums padėjo sugeneruoti per penkis tūkstančių eurų pardavimus per dvi dienas.. (tikra istorija, parodysiu pavyzdį).
LT003-0026|„Ar mano verslas sužlugs, jei neįsigysiu šios programinės įrangos?“,
LT008-0028|Iš tikrųjų dosnumas gali žmones padaryti įtarius. Jie manys: „Tas pigus DVD grotuvas greičiausiai labai prastas“ arba
LT012-0058|Šeštas. Jūs TURITE nemenką laimingų klientų duomenų bazę.
LT036-0126|Lengdonas perdavė informaciją agentui.
LT039-0033|Fonseka išklojo fantastiškai skambančią istoriją.
LT020-0038|Paprašiau dvidešimties (man patinka, kai puokštė didelė; puokštė neturi būti kukli, puokštė turi daryti įspūdį).
LT034-0219|bet sykiu leidžia mums priimti religinius įsitikinimus, kuriuos turėtų prasklaidyti net ir visiškai paviršutiniškai racionalus jų įvertinimas?
LT016-0092|Ji negalėjo suvokti, kaip aš, tik ką kalbėjęs su ja angliškai, taip greitai išmokau lietuvių kalbą - per tą laiką, kol virtuvė ruošė picą.
LT034-0004|Lengdonas nusispyrė savo lakuotą avalynę ir vienomis kojinėmis susmego į be galo minkštą kilimą.
LT024-0048|- Tai ar tu dabar ne taip turi? - Fardinas tiesiog šnopavo, jį vedė iš kantrybės mano užsispyrimas.
LT033-0063|Jau buvo į jį beeinantis, kai visame muziejuje prigeso ir vėl įsiplieskė šviesos - svečiai sulaukė pirmo švelnaus raginimo keliauti į viršutinį aukštą, kur vyks pristatymas.
LT033-0149|Lengdonas atsiminė keistą seriją raidžių ir skaitmenų, pakeverzotų ant vizitinės kortelės,
LT030-0025|Atsiklaupęs prie altoriaus atitvaro Avila juto, kaip širdį užtvindo
LT018-0016|Kurį laiką gyveno viešbutyje, bet labai norėjo savo būsto, o Anglijoje rasti ką nors tokio, prie ko jis buvo pratęs Čikagoje
LT037-0020|Automobilių paieška buvo „Uber“ verslo esmė.
LT021-0057|Tačiau, kai kokia nors didelė organizacija paremia kokį nors projektą, kuriame dalyvauja ir iš kurio pajamas gauna meno ir kultūros darbuotojas,
LT038-0157|Balsas buvo moteriškas, deformuotas kažkokių technologinių priemonių. Skambintoja bėrė žodžius angliškai, su nežymiu ispanės akcentu.
LT029-0285|kurie pratisai gaudė kaip reaktyviniai varikliai, raižė ūkanotą erdvę ir skaisčiais šviesos blyksniais blizgino muziejaus titano plokštes.
LT024-0088|Ar su draudimo agentais, kurie vilkėjo blogai pasiūtais kostiumais ir kuriems jau labai reikėjo į dušą?
LT017-0133|Vilniaus oro uoste šiek tiek bijojau, jog kas nors kaip nors mane sustabdęs praneš, kad aš esu ieškomas ar mano dokumentai negalioja, ar dar kas nors ne taip.
LT033-0237|Štai kaip per keletą minučių priviliojami trys milijonai žiūrovų, pagalvojo Lengdonas.
LT003-0079|Seminaro kaina vienam dalyviui buvo šimtas keturiasdešimt devyni litai,
LT004-0097|Daugiau apie produktą skaitykite čia.
LT014-0074|Savo portretą gerai pažinau.
LT035-0175|Žmonės kaipmat pašoko ir jam atsakė griausmingomis ovacijomis. Lengdonas prie visų prisijungė neįstengdamas suvaldyti šypsenos.
LT022-0124|- O kada vaikų? - spigiu balsu paklausė teta Jūratė nuo kito stalo galo.
LT033-0157|Lengdonas manė, kad prieš jo draugo pasirodymą visi patogiai prisės, bet šimtai svečių grūdosi baltai dažytoje ankštoje galerijoje.
LT004-0110|arba, jeigu jums sveika mityba yra tapusi kasdienybe - penkų dienų.
LT024-0023|Senu vardu Timas Nigelis Brownas nepavadinsi, nes jis nebegalioja,
LT036-0261|Karalius jautėsi per silpnas, kad žiūrėtų televizorių,
LT038-0080|Šaulys ieškomas, - tęsė Garsa, mėgindamas pakeisti temą. - Kaip tikina Fonseka, teroristas netrukus atsidurs už grotų.
LT017-0170|Tiesiai prieš mane buvo kažkoks Artimųjų Rytų restoranas.
LT038-0010|Aš gerai pasitarnavau kilniam reikalui, pamanė. Dirstelėjo į delno tatuiruotę, kuri užtikrino saugumą, bet jos taip ir neprireikė. Bent jau kol kas.
LT014-0010|kuri paskui augo ir plėtėsi kaip nesustabdoma banga, ir formavosi saulės, žvaigždės ir planetos.
LT039-0065|pastarasis sprendimas - vienas iš tų retų atvejų, kai jis parodė tėvui gebėjimus. Savo srityje Martin priklausė aukščiausios klasės ekspertų ratui,
LT023-0163|Nežinau, kaip jums, bet man visai nereikia, kad šalia manęs būtų žmonės, kuriuos esu matęs per televiziją. Man tai neprideda laimės pojūčio.
LT018-0126|Sunku buvo patikėti, bet Fardinas žinojo dar daugiau apie Lietuvą, negu aš
LT032-0016|Jei tik minėto svečio nekamuoja klaustrofobija, pamanė Lengdonas ir skubiai žengė pirmyn.
LT014-0163|Tačiau, kai kas nors negerai arba neaišku, reikia šnekėtis.
LT027-0075|ir kitais darbais užimtas, - kalbėjau aš ir neturėjau omenyje to, kad Aistė po antklode buvo nusiteikusi vis rimčiau.
LT031-0031|Paskui kibo į midrašą,
LT029-0061|Kiršas mandagiai šyptelėjo.
LT020-0009|Mes dar neturėjome su ja bendros istorijos. Tiesa, ji tikriausiai jau turėjo su manimi bendrą istoriją, bet ten buvo ne su manim, ten buvo su tuo manim, kuris buvo anksčiau.
LT031-0005|Vietovė paženklinta metaline „Gyvybės medžio“ skulptūra - svyruokliniu gluosniu, kurio kiekviename lapelyje išgraviruota po aukos pavardę.
LT019-0147|Portalai, raportuodami apie renginį, papasakojo, kad aš atėjau pas Mantą Petruškevičių vienas ir kad tebelieka neatsakytas klausimas, ar mano širdis vis dar laisva po garsių skyrybų.
LT016-0214|Išėjęs į gatvę, nuėjau žemyn, dairydamasis į namus (kad atrodyčiau tikroviškai, jei jis žiūrėtų į mane išlindęs iš tarpuvartės;
LT034-0121|Kaip ir kitais atvejais, kai žmonijos filosofija patiria permainas, privalome suprasti, kokiame istoriniame kontekste užgims šitas momentas.
LT038-0001|Už daugelio mylių į pietus, Bilbao pakraštyje, A P šešiasdešimt penktuoju greitkeliu Madrido pusėn skriejo „Uber“ sedanas.
LT031-0220|Bet netrukus apsauga rado reikiamą vardą sąrašo apačioje - pridėtą paskutinę akimirką - ir leido admirolui praeiti.
LT009-0041|pateikite klientų atsiliepimų, rekomendacijų, sėkmės istorijų.
LT004-0155|PENKIŲ POJŪČIŲ MYGTUKAS
LT003-0119|Alkoholio reklamas, kuriose buvo vaizduojamas seksualumas, žmonės įsiminė devyniasdešimt vienu procentu dažniau nei tas, kuriose seksualumas nebuvo išnaudotas.
LT002-0042|Ar norite sužinoti, kaip galima senus ir nusidėvėjusius juvelyrinius dirbinius paversti naujais?
LT022-0117|Tetos prie stalų vienos per kitas rėkė, kad dėtumeis dar valgyti
LT015-0033|Gal Anglijoje kilo karas, revoliucija, gal aš buvau sužeistas,
LT019-0111|treti tiesiog nemokamai pavalgyti ir išgerti.
LT037-0210|Nesulaukę jokio atsakymo, agentai suskato šukuoti patalpą.
LT021-0211|- Gaila, kad Užkalnio nekvietė, galėtumėt su juo pasivanoti eteriuke, - pasakiau Murlauskui, kuris rūgščiu veidu valėsi grimą vaikiškomis servetėlėmis.
LT015-0066|Atsiprašau, kad skambinu sekmadienį. Mes kalbėjom prieš kelias dienas, ar ne.
LT030-0090|Prieš jai perprantant žinutės esmę,
LT029-0167|Aš stengiuosi tave pamėgtu mintyse tarė jis. Garbės žodis.
LT018-0005|Iranietis, užsiėmęs galybe darbų gyvenime, nuo moteriškų batų pardavimo San Diege, Kalifornijoje, iki tapybos Los Andžele,
LT013-0177|Ši taisyklė galioja visiems. Net tie, kas užauga dvikalbiai ar trikalbiai, skaičiuodami balsu, visada vartoja pirmąją išmoktą kalbą. Tai pabandom.
LT018-0067|Aš protu suvokiau, kad taip, tai paskutiniai skuteliai, tačiau širdis nenorėjo jų atiduoti.
LT038-0233|ant Ispanijos reaktyvinio orlaivio uodegos, prasideda raide E, reiškiančia „Espana“.
LT002-0141|įsišaknyti klientų širdyse ir mintyse.
LT019-0106|- Tu gerai padarei, žinai, tu gerai padarei, - pačiupęs mane už sagos, man aiškino stambus ir neaukštas vyriškis, kuris jau buvo prisivaišinęs.
LT029-0073|Jaunas? - sukikeno vyskupas. - Kiek jums dabar... gal keturiasdešimt? - Ką tik sukako.
LT032-0131|Klaustrofobijos paprastai neminiu savo viešoje biografijoje. -Lengdonas staiga susivokė, jog vis dar neįstengia patikėti, kad šnekasi su mašina.
LT039-0124|Kažkas nutiko? - atidžiai stebėdamas vyskupą, paklausė Chulijanas.
LT019-0103|Nieko nesupratau. Tik viena jauna moteris garbanotais plaukais, susitikus akims, mane nužvelgė su panieka ir nusisuko.
LT030-0179|Aš raudu... liejasi kraujas... niekas man to nepranešė.
LT002-0189|Norėdami daryti įtaką, klientams privalote apie savo produktą / paslaugą pateikti tik teisingus ir patikimus faktus.
LT024-0103|Čia iš tokios nišinės parduotuvės Vilniuje Creme de La Creme. Radau ją netyčia, ten visi perka, kas gali išleisti porą šimtų eurų ir daugiau kvepalams ir kam patinka tokia egzotika.
LT004-0137|„Turėsiu tai, ko kiti neturi, ir žmonės man pavydės.“
LT017-0095|matėsi, kaip pro šnerves pučia orą.
LT029-0110|kurias rėmė į odą įrišti seni tomai. Iš daugybės lentynų tarsi šonkauliai kyšojo papildomos knygų spintos,
LT029-0086|Pasaulio religijų parlamentas.
LT031-0238|Saulėje perdegusio dvasininko oda nuėjo pūslėmis, gerklė taip perdžiūvo, kad jis vos prakvėpavo.
LT013-0137|Gerai nors tiek. Gera pradžia pusė darbo, - tyliai kalbėjau pats sau.
LT016-0081|Jaunuolis prie gretimo staliuko su ta drauge, apsitempusia leopardinėmis tympomis ir su juoda persišviečiančia per baltą malkutę liemenėle,
LT034-0160|Kaip žinote, tokios pat lemties sulaukė ir likusieji - nebegalėdami daryti įtakos evoliucionuojančiam mūsų intelektui, jie nepaliaujamai nyko.
LT003-0160|kurią mums įgyvendinti padėjo “Omnitel”.
LT003-0069|Nepaisant to, ką sako kiti, godumas yra žmogaus psichologijos dalis. Visi nori turėti ar gauti daugiau, ypač už mažesnę kainą.
LT028-0143|kuris suveikė kaip maža žaislinė mašinytė filme „Vienas namuose“, kur ant tokių mašinyčių pargriuvo plėšikai.
LT029-0276|Vos tik profesorius sustingo, iš po tako ėmė verpetais plūsti migla.
LT032-0219|O taip. Galbūt pameni, kaip anuomet garantavau, kad dar mūsų gyvenime religijos mitus sutriuškins mokslo pažanga?
LT004-0040|Nors paveikslas muziejuje ar meno kūrinių galerijoje gali būti impresionistinis, ekspresionistinis ar kubizmo pakraipos,
LT035-0109|Talentingas mokslininkas Al Gazelis - nūdien laikomas vienu iš įtakingiausių musulmonų
LT034-0188|Žmonių mąstysena evoliucionavo, jie išmoko naudotis technologijomis. Mes nebetikime nei ugnikalnių gelmėse plušančiais milžinais kalviais,
LT020-0131|ir žodžius kelių Vladimiro Vysockio ir Viktoro Cojaus dainų, taip pat pagrodavo kelis Deep Purple koverius,
LT016-0147|Kai baigiau darbą su picą, suskambo telefonas. „Aistė Skaistytė“, - pasakė ekranas.
LT034-0261|Brahmos, iš atskirų savo kūno dalių kuriančio žmones, afrikiečių dievybės, praskiriančios debesis ir į žemę nuleidžiančios du individus,
LT002-0010|Emocijas – žmonės perka vadovaudamiesi širdimi, o ne protu.
LT004-0123|Naujiems grožio studijos lankytojams padovanosime nemokamą XYZ procedūrą.
LT013-0148|Angelus pagerbti gali daug kur. Šito gal nebūtų tik šalyje, kuri netiki angelais.
LT029-0279|Skulptūros novatoriškumą lėmė ją sudaranti oro terpė, migla, kuri materializuojasi ir paskui prasisklaido;
LT028-0089|buvęs sportininkas iššoko iš automobilio taip skubėdamas, kad net neišjungė variklio.
LT032-0170|ir naudotis visiškai naujais savireguliacijos metodais. Vinstono programa tebekuriama, bet jis kas dieną tobulėja.
LT001-0027|sukaupęs bene didžiausią patirtį Lietuvoje paslaugų, konsultacijų, seminarų, konferencijų ir mokymų pardavimuose.
LT035-0103|Paskui sekė azimutas su diagrama, nurodančia kampus prie žemės horizonto.
LT013-0196|Gatvė atvedė prie tilto per upelį. Tolėliau matėsi bažnyčios, daug jų. Viena iš tų, kuri stovėjo dešinėje, buvo man matyta, gotikinė, tik negalėjau pasakyti, kur ją mačiau.
LT011-0027|Taigi, ką aš supratau iš naujo?
LT002-0084|„Pastebėjau, kad pakeitėte savo užsakymą: vietoje mėsainio su sūriu užsisakėte įprastą mėsainį.
LT032-0175|Būtent. Šiandien nieko kito neveiksiu, kaip tik stumsiu žmones iš jų komforto zonos, - nusivaipė Kiršas.
LT029-0001|Pirmas skirsnis. Lietuvos aklūjų biblioteka informuoja - visos teisės saugomos. Šis leidinys negali būti kopijuojamas, dauginamas, platinamas
LT012-0044|Suprantu, kad rašydamas apie griežtoką klientų atsirinkimą galėjau nuskambėti gana kategoriškai, tačiau supraskite ir mane..
LT035-0056|Robertas Lengdonas jautėsi nesmagiai dėl renginio eigos.
LT036-0209|Iš Madrido? Kaip galėtumėte... - Mano žinioje yra apsaugos ištekliai, kuriais naudojasi karališkoji šeima.
LT035-0246|Bet, užuot atsilapojusios kaip trečiame aukšte, durys pasislinko per colį ir užsikirto.
LT014-0157|Įdomu, kokie bus tie kvepalai? Ar čia, Lietuvoje, parduoda tuos pačius, kaip ir Anglijoje?
LT033-0229|Aš, suprantama, meldžiau Edmondo pasakyti man atradimo esmę, bet jis užsispyrė ir nepateikė nė užuominos.
LT039-0078|Pas jus atėjau asmeniškai, nes nujaučiau, kad norėsite šitai pamatyti. - Martin atkišo planšetę.
LT033-0239|Jie stovėjo prie šoninės sienos ir tyrinėjo minią. Lengdonas nustebo, kai ant vienodų mėlynų bleizerių pamatė tą pačią monogramą.
LT007-0016|Septynioliktas. SOCIALINIO ĮRODYMO MYGTUKAS
LT008-0040|Užsakymų skyrius susimovė – vartotojai prašė „X prekių ženklo“ kalnų dviračio, tačiau Linas iš užsakymų skyriaus užsakė „Z prekių ženklo“ dviračius,
LT003-0068|Taip sukelsite emocinių reakcijų, kurios paskatins pirkimus.
LT013-0190|Pakėliau akis į lentelę su gatvės pavadinimu. MALŪNŲ GATVĖ.
LT019-0057|Sostinės centre. Kodėl „beveik“? Aš iki Rotušės aikštės nuo čia galiu nueiti per dešimt minučių. Pėsčiomis. Pagalvojau, kiek mokėčiau Londone.
LT022-0020|Genutės, Stefutės, Romutės ir Marytės yra per prastos ir jis dėl to su jomis nesišneka.
LT029-0040|Kol senutis traukinys ropštėsi šlaitu į svaiginančias aukštumas, Edmondas Kiršas stebeilijosi į priešais kyšančią rantytą viršukalnę.
LT036-0012|Keturiasdešimt dvejų metų busimasis Ispanijos karalius atsikėlė į Palacio Real, nes persikraustyti rekomendavo patarėjai, norėję, kad per liūdnąjį laikotarpį,
LT039-0098|Vienas iš darbuotojų jį pažino ir nufotografavo. O po šiandieninės žmogžudystės vėl įkėlė kadrą į internetą, kaip paskutinį jo atvaizdą.
LT017-0075|Tu visada keiti temą, kai neturi ką pasakyti. Kelionė nieko. Vokietija kaip visada. Savaitė toj parodoj ir tiek. Dieną darbas, vakare telikas viešbutyje.
LT002-0097|tai vienas iš svarbiausių emocinio marketingo mygtukų.
LT021-0007|Jie yra ypač vertingi, nes visi jų dokumentai tvarkingi, jie ne diplomatai, jų niekas neišsiųs iš šalies net ir masinių deportacijų arba karo metu.
LT013-0073|Ir tada, nors kiekvienas galėtų išsirinkti bet kurį krepšį, visi pagalvotų ir tyliai pasiimtų ne svetimus, o savuosius krepšius, ir išsiskirstytų.
LT038-0026|Vadas Diegas Garsa - dviejų tūkstančių pavaldinių prievaizdas - buvo nedidukas, prakaulus, tamsaus gymio šešiasdešimtmetis mažutėmis akimis
LT021-0022|siūliau reklaminį plakatą, kur politikas su kulkosvaidžiu, o fone - sukabinti medžioklės trofėjai:
LT035-0025|Man tereikia prisiartinti prie taikinio. Jeigu įvykiai klostysis pagal numatytą planą, dabartinė jo pozicija bus ideali.
