wavs/LT001-0001|﻿Jeigu tokia knyga jau lietuvių būtų buvusi parašyta, tuomet nedrįsčiau.
wavs/LT008-0108|Jis taps pirmuoju dalyku, apie kurį galvosite vos tik atmerkęs akis, ir paskutiniuoju dalyku, apie kurį, pasibaigus darbo valandoms, galvosite uždarydamas kabineto duris.
wavs/LT008-0109|Jie geri, tačiau mes geresni!
wavs/LT008-0110|Kas geriau, Jūs ar „X Prekės ženklas“?
wavs/LT008-0111|Privalote apie konkurentus žinoti absoliučiai viską, nes kai potencialaus kliento paklausite:
wavs/LT008-0112|„Kuriomis firmomis dar domėjotės?“ – turėsite tinkamai reaguoti į jo atsakymą,
wavs/LT008-0113|pasidalyti savo žiniomis apie tą produktą ir paaiškinti, kuo Jūsų produktas ar paslauga yra geresni už kitus.
wavs/LT008-0114|Kalbant apie konkurenciją, reikia akcentuoti teigiamus dalykus.
wavs/LT008-0115|Nešmeižkite konkurento. Geriau pasakykite, kad Jūsų konkurentai yra gana geri, tačiau Jūsų įmonė siūlo absoliučiai geriausią kokybę.
wavs/LT008-0116|Kuo mažiau peiksite konkurentus, tuo daugiau įgysite klientų pasitikėjimo.
wavs/LT009-0001|Unikalus komercinis pasiūlymas (toliau - UKP) - tai marketingo koncepcija, kurią galima suskirstyti į tris dalis:
wavs/LT009-0002|Jūs turite pateikti tokį pasiūlymą, kuris nebūtų tik žodžiai ir pompastika.
wavs/LT009-0003|Jūsų pasiūlymas turi skambėti taip:
wavs/LT009-0004|“Pirk produktą ir tu gausi šį specifinį privalumą”.
wavs/LT009-0005|Pasiūlymas turi būti toks, kokio konkurentai negali pasiūlyti ar nesiūlo. Jis turi būti unikalus.
wavs/LT009-0006|Pasiūlymas turi būti toks stiprus, kad jis galėtų pritraukti mases - ne tik jūsų esamus, bet ir naujus svetainės lankytojus.
wavs/LT009-0007|Pagrindinis UKP tikslas - ilgainiui įdiegti žmonių galvose žinutę “O, taip, aš girdėjau apie jus. Jūs esate ta kompanija, kuri...”.
wavs/LT009-0008|Šiais laikais, jūsų verslas negali verstis tuo pačiu senu metodu, vadinamu “aš taip pat tai darau, tik pigiau”.
wavs/LT009-0009|Jūsų verslas besąlygiškai turi turėti UKP, kuris yra konkretus, žaibiškai suprantamas, išskirtų jus iš konkurencijos kaip geriausią pasirinkimą
wavs/LT009-0010|(ir jis turi spręsti didžiausią rinkos problemą). Pavyzdžiui:
wavs/LT009-0011|Siuntų pristatymo rinka
wavs/LT009-0012|Skausmas - Aš turiu pristatyti siuntą labai greitai.
wavs/LT009-0013|UKP - Kai jūsų siunta turi būti besąlygiškai pristatyta per naktį (Federal Express).
wavs/LT009-0014|Maitinimo rinka
wavs/LT009-0015|Skausmas - vaikai yra išalkę, o tėtis su mama yra per daug pavargę, kad gamintų maistą.
wavs/LT009-0016|UKP - Karšta šviežia pica per trisdešimt minučių, arba ji - nemokama! (Domino Pizza).
wavs/LT009-0017|Šampūnas Skausmas - kamuoja pleiskanos.
wavs/LT009-0018|UKP - Jūs atsikratysite pleiskanų! (Head & Shoulders)
wavs/LT009-0019|(paruoškime jūsų Unikalų komercinį pasiūlymą)
wavs/LT009-0020|Apibrėžkite tris didžiausius jūsų privalumus
wavs/LT009-0021|Šiame žingsnyje aiškiai apibūdinkite tris pagrindines priežastis, kodėl žmogui verta pasirinkti jus, jūsų prekę ar paslaugą.
wavs/LT009-0022|Apibrėžkite jūsų unikalumą
wavs/LT009-0023|Raktas į UKP sukūrimą, yra jūsų unikalumas.
wavs/LT009-0024|Pagrinde, jūsų U K P išskiria jus iš konkurentų.
wavs/LT009-0025|U K P parodo niekur kitur nerandamą pirkimo kriterijų, kuris iliustruoja jūsų kompaniją kaip patį geriausią,
wavs/LT009-0026|net logiškiausią pasirinkimą, ir jūsų produktą ar paslaugą paverčia “privalau turėti/naudotis” objektu.
wavs/LT009-0027|Produktas: unikali dvidešimt žingsnių marketingo sistema, skirta parduoti nekilnojamą turtą.
wavs/LT009-0028|Mūsų unikali dvidešimt žingsnių marketingo sistema parduos jūsų būstą per mažiau kaip keturiasdešimt penkias dienas už pilną rinkos kainą.
wavs/LT009-0029|Jeigu Jūsų nekilnojamas turtas per šį laiką dar nebus parduotas, mes neimsime komisinio mokesčio.
wavs/LT009-0030|Jūsų sprendimai:
wavs/LT009-0031|Trešias. Išspręskite “pagrindinę rinkos problemą” arba “užpildykite spragą”
wavs/LT009-0032|Dabar metas identifikuoti kokie poreikiai jūsų rinkoje yra nepatenkinami.
wavs/LT009-0033|Poreikis ar spraga, kuri egzistuoja dabartinėje situacijoje yra geriausios idėjos jūsų U K P kūrimui, ar net verslo fokusavimui.
wavs/LT009-0034|Taigi, pagalvokite ir surašykite - kokie yra nemaloniausi, nepatogiausi, įvairias problemas keliantys reiškiniai,
wavs/LT009-0035|kuriuos klientai patiria dirbdami su jumis, su jūsų konkurentais, tai yra galimos klientų patiriamos problemos jūsų rinkoje.
wavs/LT009-0036|Atraskite tą skausmą ir pateikite jį U K P, kad jame skambėtų sprendimas į problemas.
wavs/LT009-0037|Surašykite viską popieriuje ir eikite prie ketvirtojo žingsnio.
wavs/LT009-0038|Jūsų sprendimai:
wavs/LT009-0039|Būkite specifiški ir pateikite įrodymų
wavs/LT009-0040|Klientai dažnai yra skeptiški - todėl ne visuomet patikės jūsų reklaminiais skelbimais. Taigi, jų skepticizmą imkite ir pašalinkite -
wavs/LT009-0041|pateikite klientų atsiliepimų, rekomendacijų, sėkmės istorijų.
wavs/LT009-0042|Jos turi būti pateiktos ne pačiame U K P, tačiau pasiūlyme,
wavs/LT009-0043|elektroniniame laiške, interneto svetainėje, ar ten kur žmogus eis ieškoti daugiau informacijos apie jus,
wavs/LT009-0044|kai išgirs/perskaitys ar pamatys jūsų U K P.
wavs/LT009-0045|Jūsų sprendimai:
wavs/LT009-0046|Penktas. Viską pateikite aiškiame ir sklandžiame sakinyje
wavs/LT009-0047|Patys galingiausi UKP yra taip sklandžiai parašyti, kad jūs negalite pakeisti nė vieno žodelio, tiesiog nėra prasmės ir nieko geriau nepadarytumėte.
wavs/LT009-0048|Kiekvienas žodis UKP uždirbs jums daugiau pinigų.
wavs/LT009-0049|Kai sukursite savo UKP, jūsų prekių ar paslaugų pasiūlymai, video ar radijo reklamos, kita reklaminė sklaida praktiškai pati užsirašys savaime.
wavs/LT009-0050|Dabar iš to ką surašėte ankstesniuose žingsniuose, surašykite viską į vieną sakinį, vadovaujantis anksčiau pateiktas UKP pavyzdžiais iš vakarų.
wavs/LT009-0051|Integruokite savo UKP visoje reklaminėje sklaidoje
wavs/LT009-0052|Interneto svetainė/‘Facebook” puslapis.
wavs/LT009-0053|Video marketingas (ir radijo, TV reklamos, jeigu naudojatės).
wavs/LT009-0054|Prekių/paslaugų aprašymai - viršuje ir apačioje.
wavs/LT009-0055|Vizitinės kortelės (šalia logotipo), brošiūros, skrajutės.
wavs/LT009-0056|Jūsų tele-marketingo scenarijai.
wavs/LT010-0001|Bet turbūt jums kirba klausimas - o kaip greitai aš galėčiau išbandyti šių technikų veiksmingumą ir jau artimiausiu metu uždirbčiau pinigų? Nuo ko pradėti?
wavs/LT010-0002|Noriu jus pradžiunginti, nes šioje knygoje jums turiu dar vieną dovaną...
wavs/LT010-0003|Ši dovana - tai technika, kuri visai neseniai mums padėjo sugeneruoti per penkis tūkstančių eurų pardavimus per dvi dienas.. (tikra istorija, parodysiu pavyzdį).
wavs/LT010-0004|Ir tai buvo padaryta tik elektroniniu paštu.. be jokios interneto svetainės..
wavs/LT010-0005|tik senu geru “old school’iniu” būdu, kuris man taip patinka..
wavs/LT011-0001|TIKROJO pardavimo technika, kuri ypač palengvins jūsų darbą
wavs/LT011-0002|“Aiškumo momentas” tiek jums, tiek jūsų klientui
wavs/LT011-0003|Ši technika yra skirta e. paštu, video ar kitu patogiu būdu pranešti apie:
wavs/LT011-0004|Akcijas, išpardavimus,
wavs/LT011-0005|Naujo produkto ar paslaugos pasirodymą
wavs/LT011-0006|Renginius, mokymus, naujas paslaugas.
wavs/LT011-0007|Nemokamas dovanas, nuolaidų kuponus
wavs/LT011-0008|Svarbias naujienas, partnerių pasiūlymus
wavs/LT011-0009|Kaip aš sužinojau apie šią techniką?
wavs/LT011-0010|Du tūkstančiai vienuolikti metai. Buvo niūrus rudens rytas, kai lietus barbeno į palangę, o aš vėl “hustlinau” ir galvojau ką padaryti šiandien, kad prasimanyčiau pinigų.
wavs/LT011-0011|Ir kadangi norisi vis paskaityti kažką, pasisemti patirties, aš pasidedu daugybę literatūros
wavs/LT011-0012|(turiu jau per keturis šimtus įvairiausių knygų apie marketingą ir pardavimus) ant stalo ir imu vartyti, skaityti, analizuoti ir galvoti ką dabar pritaikyti.
wavs/LT011-0013|Ir staiga, kai ką ten aptikau..
wavs/LT011-0014|Mano žvilgsnį patraukė vienas lapukas, kurį kažkada buvau išplėšęs iš vieno konspekto.. Tas lapukas patraukė akį dėl to,
wavs/LT011-0015|kad buvo toks nespalvingas, paprastutis ir aš galvojau, kad reikia tą “šiukšlę” kažkur padėti toliau, kad nesimaišytų su mano “kietomis” knygomis..
wavs/LT011-0016|aš pats nustebau, ką ten perskaičiau..
wavs/LT011-0017|Tai buvo marketingo legendos, žymaus JAV kopiraitingo (įtaigaus rašymo) guru John Carlton pardavimo technika,
wavs/LT011-0018|kurią jis naudodavo aprašydamas ir pristatydamas daugybę savo ir savo klientų produktų ir paslaugų.
wavs/LT011-0019|Šioje technikoje tebuvo trys itin lengvi, visiems suprantami pardavimo žingsniai:
wavs/LT011-0020|Pirmas žingsnis: Štai ką aš Jums turiu paruošęs
wavs/LT011-0021|Antras žingsnis: Štai kokia iš to nauda Jums
wavs/LT011-0022|Trečias žingsnis: Štai ką dabar reikia padaryti, kad tai gautumėte
wavs/LT011-0023|Iš vienos pusės aš net suglumau..
wavs/LT011-0024|taip paprasta.. aišku..
wavs/LT011-0025|ar tai tikrai įtikins mano potencialius klientus kažką nusipirkti? Ar nebus primityvu?! (juk mes, lietuviai, norim viską “užlankstyti”..).
wavs/LT011-0026|Bet tuomet aš prisiminau svarbius pirkimo psichologijos principus, kurie visuomet yra su manimi, ir nutariau juos dar kartą paanalizuoti
wavs/LT011-0027|Taigi, ką aš supratau iš naujo?
wavs/LT011-0028|Penktas principas: klientams reikia išversti produkto vertę jiems suprantama kalba.
wavs/LT011-0029|Ne visi klientai žino, kodėl jūsų produktas ar paslauga gali būti jiems naudinga arba kodėl jūs esate geresni už konkurentus.
wavs/LT011-0030|Dažniausi keturi klientų klausimai, į kuriuos jūs turite būti paruošę atsakymus:
wavs/LT011-0031|Pirmas: kas tai? Kodėl tai man turi rūpėti? Ar galite tai įrodyti?
wavs/LT011-0032|Tai yra pirmas žingsnis: Štai ką aš Jums turiu paruošęs
wavs/LT011-0033|Ar tai tikrai man duos tai, ko man reikia ir ko aš noriu?
wavs/LT011-0034|Tai yra antras žingsnis: Štai kokia iš to nauda Jums
wavs/LT011-0035|Ar tikrai man to reikia dabar?
wavs/LT011-0036|Tai yra trečias žingsnis: Štai ką dabar reikia padaryti, kad tai gautumėte
wavs/LT011-0037|Ketvirtas: ar galiu jumis, jūsų produktu pasitikėti? Ar turite gerus ketinimus?
wavs/LT011-0038|Kaip matote, viskas tapo dar labiau logiška ir teisinga. Ir man nebeliko jokių abejonių kodėl to neturėčiau pritaikyti savo veikloje.
wavs/LT011-0039|Ir pirmieji rezultatai buvo gana sėkmingi (nors pirmuoju pasiūlymu, kaip jo rašytojas, nebuvau stipriai patenkintas..)
wavs/LT011-0040|Bet ruošiant šią knygą, aš nutariau pasidalinti idėjomis - kaip jūs galite tai pritaikyti.
wavs/LT011-0041|Pirmoji idėja kilo dėl aprangos pardavimo.
wavs/LT011-0042|Štai kaip šią techniką aš panaudojau, kad pateikčiau jums vizualiai priimtinesniu būdu:
wavs/LT011-0043|Pirmas žingsnis: Štai ką aš Jums turiu paruošęs
wavs/LT011-0044|Mielos moterys, turime jums puikią naujieną!
wavs/LT011-0045|Skelbiame dalykinių drabužių išpardavimą, kurio metu jūs patinkančią aprangą galite įsigyti net su penkiasdešimt procentų nuolaida.
